-4.622422393801161711e+00,-4.535287144392117220e+00,-3.982893925132155459e+02
-3.693308273697418986e+00,-3.566291356023600922e+00,-3.702229923370786651e+02
-2.574806075912166481e+00,-2.541141304300492454e+00,-3.410204618436969213e+02
-1.350637108113279083e+00,-1.574925832128143854e+00,-3.126436066390930932e+02
-6.727113490361039672e-01,-8.741555305832148237e-01,-2.843238168211020707e+02
-3.342867433519578491e-01,-2.674919012092061288e-01,-2.561257480978840135e+02
-1.520509058550243431e-01,1.480709696330967662e-01,-2.279885787524214322e+02
5.660780833343711377e-02,1.019829228886903527e+00,-1.992740535241582904e+02
4.823572349770184342e-01,1.941391906384339228e+00,-1.698070517171134099e+02
5.728985546168300358e-01,1.753299638952640516e+00,-1.422963501814683696e+02
3.834735776767084769e-01,2.025245130737337806e+00,-1.145022838974647357e+02
4.399797429764666368e-01,2.197125856408595368e+00,-8.527482013817134998e+01
7.593943854104665547e-01,1.458858602421011064e+00,-5.663817479370848673e+01
7.209576112673183879e-01,1.070260696949386414e+00,-2.829509589123994218e+01
8.374123570855397380e-01,8.400710612052392223e-01,6.661763010527603328e-03
8.909678572170700583e-01,6.823186428675750426e-01,2.806145713353226867e+01
1.453608039800020180e+00,8.346962191766748029e-01,5.681552389591715269e+01
2.279680508941840600e+00,9.177056956172364721e-01,8.626721867138134314e+01
2.029170503702253381e+00,7.854462466477528659e-01,1.139142561000061704e+02
1.826823285212330505e+00,8.738809714224043956e-01,1.416030446936632359e+02
1.663405582312193376e+00,7.872109424263201705e-01,1.706201856568110884e+02
1.060158190084903529e+00,2.194439225034510443e-01,1.994141007490750042e+02
5.364838726666385504e-01,-1.385958111895598845e-02,2.277652062764942968e+02
1.582758600950162908e-01,-2.984289761554930753e-01,2.560350104709184507e+02
-2.343812071594351953e-01,-5.684794179928066571e-01,2.840018206266918241e+02
-2.291673143429299453e-01,-1.342073323331545831e+00,3.127514907842503931e+02
-2.197659988860178604e-01,-2.581917665207638546e+00,3.420924011252829473e+02
-5.471338874296788335e-01,-3.395985281705147685e+00,3.698003674008847952e+02
-7.392880113323992974e-01,-4.307769267251164713e+00,3.974714669999078183e+02
