4.659519985150946120e-01,-7.300747809760493645e+00,-3.972671694144212893e+02
1.978951080171649224e-01,-6.225821043545490596e+00,-3.688533933106609766e+02
1.734080519952026569e-02,-5.134403721087974048e+00,-3.404318078354050385e+02
-4.083218491787000137e-01,-4.014341227092230291e+00,-3.119813475606887891e+02
-1.184001022517419566e+00,-2.876836772185054958e+00,-2.836906164021689278e+02
-1.596852814262091469e+00,-1.628522333353784601e+00,-2.554260381798385140e+02
-2.018969952178919058e+00,-8.079501263995908511e-01,-2.276837744096489189e+02
-2.365465143771143808e+00,3.215065756327863955e-01,-1.989621857136409346e+02
-2.469771144555214182e+00,1.387618729375103221e+00,-1.700090779807544266e+02
-2.911445596628442711e+00,1.310227610168418932e+00,-1.416959221653566203e+02
-3.336468457551744482e+00,1.610163987172190003e+00,-1.134483636298992906e+02
-3.244770468356721782e+00,1.956434270806387543e+00,-8.509718565486959108e+01
-2.947900310749067554e+00,2.136043950966559635e+00,-5.652438273253256540e+01
-2.693891496728037627e+00,2.692636262307859685e+00,-2.823933725458435262e+01
-1.983940503291667712e+00,2.903124972948354365e+00,1.249526727459038256e-01
-1.598491190577532306e+00,2.919161584072589743e+00,2.787634562937964589e+01
-8.028465062910027372e-01,2.923940849968636346e+00,5.648329283257758249e+01
8.648424908672676381e-02,2.623331392099187642e+00,8.556678648511091012e+01
4.295557582351816062e-01,2.388720808628409298e+00,1.136057425483440397e+02
7.261134823016420770e-01,2.083864915307595655e+00,1.419956301668007939e+02
6.667252528854951121e-01,1.647469313784753808e+00,1.708085853830913265e+02
8.179495435653230118e-01,1.575532995771427025e+00,1.990276700350092369e+02
1.072620993701938197e+00,1.312789121243132628e+00,2.271213402167577726e+02
1.181398463404168542e+00,2.639619032857714043e-01,2.555231166926820663e+02
1.010660828909313524e+00,-6.622994891362380399e-01,2.832987660487510198e+02
1.049517981688220081e+00,-2.164707918072480197e+00,3.120324931641691251e+02
8.827463264583904623e-01,-4.097029386321946021e+00,3.409177704784745515e+02
6.107095145891142662e-01,-5.776944911317862363e+00,3.688645405768772889e+02
3.879614213648885923e-01,-7.801042790281783823e+00,3.971849937809399762e+02
